"ID","FORMULA","NAME","MW(g/mol)","TB(K)","Tc(K)","Pc(bar)","Vc(cm3/mol)","RHOC(g/cm3)","Zc","OMEGA","Dipole Moment","molecular volume","atom","Optimum_Chemical_Potential_Max","atom1","Optimum_Chemical_Potential_Min","atom2","Theta_Inverse_Max","atom3","Theta_Inverse_Min","atom4","Intensive_Atomic_softness_Max","atom5","Intensive_Atomic_Hypersoftness_Max","atom6","Intensive_Heat_Capacity_Max","atom7","Intensive_Entropy_Max","atom8","ODD_at_HOMO_Max","atom9","OAD_at_HOMO_Max","atom10","ODD_at_LUMO_Max","atom11","OAD_at_LUMO_Max","atom12","electrophilicity_intensive_MAX","atom13","thermophilicity_intensive_MAX"
"DJ1442","H2S2","HYDROGEN DISULFIDE",66.148,337.15,542.39,88.36,139.8,0.4731,0.274,0.366,1.6051,687.667324,"S1",-112.579,"H3",-1745.055,"H3",351.61,"S1",50.69,"S1",0.01584,"S1",0.00023,"H3",24.461,"H3",2097.312,"S1",27.5,"S1",-85.079,"S1",27.256,"S2",-85.322,"S1",5.383,"S1",12.995
"DJ501","C6H6O3","1,2,3-BENZENETRIOL",126.112,581.85,830,88.1,318,0.3966,0.406,0.945,1.646,1311.736078,"O3",-42.857,"H13",-165.119,"H11",24.69,"O3",10.29,"O4",0.08934,"O4",0.0075,"H13",50.606,"H13",187.337,"O1",1.535,"O3",-41.325,"O1",1.467,"O3",-41.394,"H13",37.064,"C7",1.26
"DJ1331","AsF3","ARSENIC TRIFLUORIDE",131.917,329.45,530.21,87.81,137.6,0.959,0.274,0.363,2.6873,596.9511015,"As1",-35.614,"F2",-1999.532,"F2",642.06,"As1",16.33,"As1",0.03527,"As1",0.00149,"F2",9.23,"F2",2645.877,"F2",198.143,"As1",-26.329,"F2",197.946,"As1",-26.64,"F2",14.2,"As1",5.003
"DJ1372","COSe","CARBON OXYSELENIDE",106.97,251.25,406.58,86.3,107.3,0.9967,0.274,0.338,0.9089,636.3359242,"Se3",-10.23,"C2",-3361.737,"C2",952.9,"Se3",5.51,"Se3",0.08675,"Se3",0.00965,"C2",12.064,"C2",4321.625,"O1",304.86,"Se3",-6.389,"O1",304.677,"Se3",-6.681,"C2",13.655,"Se3",0.684
"DJ1431","HBr","HYDROGEN BROMIDE",80.912,206.45,363.15,85.52,100.3,0.807,0.284,0.069,1.1127,450.1714594,"Br1",-0.652,"H2",-7381.017,"H2",1547.59,"Br1",0.01,"H2",0.00064,"Br1",0,"H2",22.572,"H2",8934.636,"H2",137.344,"Br1",0,"H2",137.287,"Br1",0,"H2",0.107,"H2",2.118
"DJ223","C3H9O4P","TRIMETHYL PHOSPHATE",140.076,465.85,764,85,229.4,0.6105,0.307,0.291995601,1.4841,1326.474791,"P1",-37.86,"H9",-534.101,"H10",87.35,"P1",10.03,"P1",0.07571,"P1",0.00637,"H9",37.434,"H9",620.734,"O2",7.57,"P1",-35.844,"O2",7.474,"P1",-35.948,"C5",13.272,"C5",0.232
"DJ1389","CIHO3S ","CHLOROSULFONIC ACID",116.525,427,700,85,195,0.5976,0.285,0.301,2.9836,828.321765,"Cl1",-121.709,"H6",-1472.441,"H6",225.03,"Cl1",43.69,"Cl1",0.01904,"Cl1",0.00035,"H6",42.727,"H6",1696.72,"O5",27.432,"Cl1",-104.727,"O5",27.279,"Cl1",-104.937,"H6",20.85,"S2",19.62
"DJ1443","H2Se","HYDROGEN SELENIDE",80.976,232.05,411.1,83.44,112.2,0.7215,0.274,0.064,0,546.1142264,"Se1",-0.517,"H2",-7314.733,"H2",1455.72,"Se1",0.11,"Se1",0.28568,"H2",0,"H2",25.097,"H2",8774.687,"H2",105.102,"Se1",-0.14,"H2",105.073,"Se1",-0.494,"H2",0.267,"H2",1.575
"DJ1520","P","PHOSPHORUS WHITE",30.974,553.45,993.75,83.29,297.6,0.1041,0.3,0.032,0,1065.458645,"P1",-172.945,"P1",-172.945,"P1",61.39,"P1",61.39,"P1",0.01455,"P1",0.00019,"P1",6.317,"P1",215.516,"P1",23.25,"P1",-149.694,"P1",23.058,"P1",-149.886,"P1",26.645,"P1",0.789
"DJ1433","HCI","HYDROGEN CHLORIDE",36.461,188.15,324.65,83.09,81,0.45,0.249,0.132,1.5506,385.7563857,"Cl1",-0.7,"H2",-1694.076,"H2",368.64,"Cl1",0.01,"H2",0.00269,"H2",1E-05,"H2",20.911,"H2",2063.925,"H2",37.638,"Cl1",0,"H2",37.568,"Cl1",0,"H2",1.23,"H2",0.258
