"ID","FORMULA","NAME","MW(g/mol)","TB(K)","Tc(K)","Pc(bar)","Vc(cm3/mol)","RHOC(g/cm3)","Zc","OMEGA","Dipole Moment","molecular volume","atom","Optimum_Chemical_Potential_Max","atom1","Optimum_Chemical_Potential_Min","atom2","Theta_Inverse_Max","atom3","Theta_Inverse_Min","atom4","Intensive_Atomic_softness_Max","atom5","Intensive_Atomic_Hypersoftness_Max","atom6","Intensive_Heat_Capacity_Max","atom7","Intensive_Entropy_Max","atom8","ODD_at_HOMO_Max","atom9","OAD_at_HOMO_Max","atom10","ODD_at_LUMO_Max","atom11","OAD_at_LUMO_Max","atom12","electrophilicity_intensive_MAX","atom13","thermophilicity_intensive_MAX"
"DJ465","C6H4Br2","m-DIBROMOBENZENE",235.906,491.15,761,46.6,372,0.6342,0.274,0.293,1.7477,1494.733363,"Br1",-559.322,"H9",-8508.383,"H12",1349.1,"Br1",209,"Br1",0.00417,"Br1",2E-05,"H9",39.741,"H9",9857.518,"C4",113.884,"Br1",-473.194,"C4",113.821,"Br1",-473.388,"C3",36.195,"Br1",19.801
"DJ657","C7H6O","BENZALDEHYDE",106.124,451.9,695,46.6,324,0.3275,0.261,0.305,3.5423,1215.823011,"O1",-27.642,"H10",-108.214,"H14",17.83,"O1",6.83,"O1",0.12454,"O1",0.0148,"H10",36.786,"H10",125.372,"O1",1.151,"O1",-26.491,"O1",1.071,"O1",-26.571,"C8",17.154,"C8",0.643
"DJ419","CSH10O2","TETRAHYDROFURFURYL ALCOHOL",102.133,451.15,639,46.6,290,0.3522,0.254,0.703,3.1057,1192.507977,"O1",-32.77,"H17",-126.161,"H9",19.46,"O1",8.15,"O1",0.10633,"O1",0.01065,"H17",46.487,"H17",143.713,"O2",1.391,"O2",-31.387,"O2",1.302,"O1",-31.477,"H17",20.283,"C7",0.283
"DJ180","C3H6O","n-PROPIONALDEHYDE",58.08,321.15,496,46.6,210,0.2766,0.237,0.302,2.9236,789.8613305,"O1",-22.531,"H5",-103.129,"H9",18.71,"O1",6.52,"O1",0.11911,"O1",0.01425,"H5",30.174,"H5",121.245,"C2",1.709,"O1",-20.829,"C2",1.603,"O1",-20.965,"C4",6.637,"O1",0.545
"DJ423","C5H10S","THIACYCLOHEXANE",102.194,414.9,657.12,46.53,295.5,0.3458,0.252,0.22,2.0302,1238.077431,"S1",-17.081,"H14",-654.546,"H8",108.4,"S1",4.74,"S1",0.14288,"S1",0.02051,"H14",36.551,"H14",762.148,"C6",7.924,"S1",-15.951,"C5",7.855,"S1",-16.06,"C3",11.114,"C3",0.162
"DJ430","CSH11N","PIPERIDINE",85.149,379.55,594.05,46.51,308,0.2765,0.29,0.243,0.9631,1146.005745,"N1",-23.995,"H17",-81.166,"H13",13.2,"N1",5.86,"N1",0.14787,"C5",0.02017,"H17",39.899,"H17",93.203,"N1",0.952,"N1",-23.043,"N1",0.875,"N1",-23.12,"C5",11.089,"C5",0.229
"DJ1348","B5H9","PENTABORANE",63.126,331.55,568.45,46.41,285.1,0.2214,0.28,0,2.3017,33.87151653,"B5",-14.248,"H14",-36.481,"H14",6.91,"B1",2.92,"B5",0.2933,"B5",0.07447,"H7",27.453,"H14",42.916,"H14",0.437,"B5",-13.965,"H14",0.401,"B1",-14.017,"B5",11.365,"B5",0.424
"DJ614","C6H14O6","SORBITOL",182.174,777,959,46.4,483,0.3772,0.281,2.199,4.4355,1770.88035,"O6",-48.055,"H21",-169.393,"H20",24.22,"O6",10.71,"O6",0.08778,"O6",0.00733,"H21",54.655,"H21",191.335,"O1",1.256,"O2",-46.805,"O1",1.193,"O6",-46.868,"H21",42.917,"C11",1.706
"DJ532","C6H10O2","epsilon-CAPROLACTONE",114.144,514,771,46.3,352,0.3243,0.254,0.442,5.1807,1278.811092,"O2",-33.172,"H16",-118.239,"H9",19.2,"O1",8.05,"O1",0.10871,"O1",0.01113,"H16",37.975,"H16",136.746,"O2",1.281,"O2",-31.891,"O2",1.194,"O2",-31.978,"C8",21.288,"C8",0.904
"DJ305","C4H9Br","2-BROMOBUTANE",137.019,364.37,567,46.3,320,0.4282,0.314,0.268,2.4822,1205.371196,"Br1",-11.574,"H6",-7259.872,"H13",1208.9,"Br1",4.12,"Br1",0.11635,"Br1",0.0189,"H6",36.136,"H6",8466.98,"C5",109.484,"Br1",-9.83,"C5",109.402,"Br1",-10.038,"C3",31.206,"Br1",1.097
"DJ214","C3H8S","n-PROPYLMERCAPTAN",76.163,340.87,536,46.3,254,0.2999,0.264,0.235,1.9381,1026.98916,"S1",-13.583,"H7",-774.922,"H12",136.69,"S1",4.15,"S1",0.1463,"S1",0.02288,"H7",32.741,"H7",909.682,"C3",11.634,"S1",-12.312,"C3",11.542,"S1",-12.456,"C2",11.24,"S1",1.208
"DJ1427","GeHCI3","TRICHLORO GERMANE",179.976,348.15,559.78,46.21,276,0.6522,0.274,0.17,1.5532,1112.468365,"Ge1",-151.567,"H5",-5117.464,"H5",947.16,"Ge1",65.76,"Ge1",0.01192,"Ge1",0.00013,"H5",29.072,"H5",6066.277,"Cl2",128.716,"Ge1",-117.547,"Cl3",128.498,"Ge1",-117.816,"Cl2",25.098,"Ge1",10.421
"DJ170","C3H6","PROPYLENE",42.081,225.43,364.76,46.13,181,0.2326,0.275,0.142,0.4196,720.8221747,"C3",-18.309,"H8",-60.993,"H4",11.49,"C1",4.93,"C1",0.16459,"C1",0.02403,"H8",27.824,"H8",71.893,"C3",1.104,"C3",-17.205,"C3",0.991,"C3",-17.318,"C1",3.263,"C3",0.2
"DJ63","C2HCI3O","DICHLOROACETYL CHLORIDE",147.387,382.15,579,46.1,288,0.5118,0.276,0.371,2.0425,1150.667762,"Cl3",-180.668,"H7",-1744.849,"H7",295.14,"Cl2",60.3,"Cl2",0.01468,"Cl1",0.0002,"H7",34.852,"H7",2039.722,"O4",29.106,"Cl3",-160.288,"O4",28.981,"Cl3",-160.466,"C6",52.737,"C6",3.228
"DJ1563","SO2CI2","SULFURYL CHLORIDE",134.97,342.55,545,46.1,224,0.6025,0.228,0.176,1.7382,937.6556621,"Cl1",-170.583,"O4",-463.801,"O4",138.81,"S3",61.02,"S3",0.01455,"S3",0.0002,"O4",10.5,"O4",597.137,"O4",36.704,"Cl1",-146.909,"O4",36.566,"Cl1",-147.099,"S3",25.192,"O4",0.998
"DJ35","CH4","METHANE",16.043,111.66,190.58,46.04,99.3,0.1616,0.288,0.011,0.0005,385.0358469,"C1",-0.771,"H3",-41.897,"H2",9.31,"C1",0.01,"H2",0.10572,"H2",0.011,"H3",19.892,"H4",50.671,"H2",1.101,"C1",0,"H2",1.016,"C1",0,"H2",0.674,"H2",0.096
"DJ70","C2H2Br4","1,1,2,2-TETRABROMOETHANE",345.654,516.65,824,46,401,0.862,0.269,0.177,1.4401,1524.197732,"Br5",-970.036,"H3",-9653.518,"H3",1525.17,"Br5",369.09,"Br5",0.00244,"Br5",1E-05,"H3",40.003,"H3",11179.402,"Br6",156.714,"Br6",-813.329,"Br6",156.506,"Br6",-813.538,"Br5",63.909,"H3",1.239
"DJ331","C4H10O3","DIETHYLENE GLYCOL",106.122,518.15,744.6,46,312,0.3401,0.232,0.621,0.956,1236.250281,"O1",-37.691,"H16",-144.111,"H8",22.23,"O1",9.42,"O1",0.09452,"O1",0.00834,"H16",46.534,"H16",164.287,"O1",1.615,"O1",-36.075,"O1",1.519,"O1",-36.172,"H16",21.932,"C6",0.478
"DJ490","C6H6CIN","P-CHLOROANILINE",127.573,503.65,754,45.9,364,0.3505,0.267,0.421,3.4342,1329.87864,"Cl1",-20.646,"H14",-791.531,"H9",123.68,"Cl1",5.72,"Cl1",0.12468,"Cl1",0.01559,"H13",42.991,"H14",911.437,"N2",10.498,"Cl1",-19.316,"N2",10.422,"Cl1",-19.419,"C3",14.293,"C3",0.297
"DJ488","C6H6CIN","M-CHLOROANILINE",127.573,501.65,751,45.9,364,0.3505,0.268,0.42,3.0246,1329.473841,"Cl1",-20.643,"H14",-791.843,"H10",123.7,"Cl1",5.71,"Cl1",0.12471,"Cl1",0.0156,"H14",43.045,"H14",911.72,"N2",10.502,"Cl1",-19.312,"N2",10.424,"Cl1",-19.418,"C3",14.337,"C3",0.299
"DJ489","C6H6CIN","o-CHLOROANILINE",127.573,481.99,722,45.9,364,0.3505,0.278,0.425,1.9898,1319.165827,"Cl1",-20.637,"H14",-794.289,"H9",123.62,"Cl1",5.71,"Cl1",0.12472,"Cl1",0.0156,"H14",43.419,"H14",914.011,"N2",10.514,"Cl1",-19.306,"N2",10.436,"Cl1",-19.411,"C3",14.478,"C3",0.306
"DJ104","C2H4CI2O","BIS(CHLOROMETHYL)ETHEF",114.959,378,579,45.8,258,0.4456,0.245,0.324,3.509,1060.584827,"Cl1",-135.27,"H7",-1402.128,"H6",242.77,"Cl1",46.08,"Cl1",0.01839,"Cl1",0.00033,"H6",33.246,"H7",1644.633,"O3",24.014,"Cl1",-119.059,"O3",23.876,"Cl1",-119.256,"C5",30.83,"Cl1",13.292
"DJ194","C3H7CI","n-PROPYL CHLORIDE",78.541,319.67,503.15,45.8,247,0.318,0.27,0.228,2.3287,961.0262548,"Cl1",-13.568,"H7",-942.86,"H9",166.14,"Cl1",4.26,"Cl1",0.13761,"Cl1",0.01939,"H8",32.414,"H7",1107.882,"C4",14.77,"Cl1",-12.156,"C4",14.66,"Cl1",-12.335,"C3",12.519,"Cl1",1.747
"DJ676","C7HBO","m-CRESOL",108.14,475.43,705.85,45.6,312,0.3466,0.242,0.449,1.1363,1282.548515,"O1",-27.542,"H16",-111.19,"H11",17.07,"O1",6.72,"O1",0.12655,"O1",0.01535,"H16",47.438,"H16",126.367,"O1",1.077,"O1",-26.465,"O1",1,"O1",-26.541,"H16",24.096,"C5",0.389
"DJ10","CCI4","CARBON TETRACHLORIDE",153.822,349.79,556.35,45.6,276,0.5573,0.272,0.193,0,1118.881559,"Cl2",-218.609,"C1",-782.27,"C1",200.41,"Cl2",76.94,"Cl2",0.01165,"Cl2",0.00012,"C1",14.737,"C1",978.141,"C1",35.046,"Cl2",-189.931,"C1",34.942,"Cl2",-190.135,"C1",37.571,"C1",1.456
"DJ484","C6H5F","FLUOROBENZENE",96.104,357.88,560.09,45.51,269,0.3573,0.263,0.247,1.7199,1042.380394,"F1",-28.564,"H9",-135.375,"H12",22.81,"F1",7.45,"F1",0.10696,"F1",0.01197,"H9",35.04,"H9",157.575,"C7",1.67,"F1",-27.103,"C7",1.591,"F1",-27.206,"C2",9.069,"C2",0.057
"DJ675","C7HBO","BENZYL ALCOHOL",108.14,477.85,677,45.5,335,0.3228,0.271,0.691,1.724,1282.705613,"O1",-27.558,"H16",-111.036,"H11",17.09,"O1",6.72,"O1",0.12649,"O1",0.01532,"H16",46.814,"H16",126.314,"O1",1.083,"O1",-26.475,"O1",1.001,"O1",-26.558,"H16",22.564,"C3",0.4
"DJ304","C4H9Br","1-BROMOBUTANE",137.019,374.75,577,45.4,319,0.4295,0.302,0.323,2.4611,1221.913702,"Br1",-11.578,"H10",-7272.55,"H12",1209.29,"Br1",4.12,"Br1",0.11634,"Br1",0.0189,"H10",36.22,"H10",8480.359,"C4",109.999,"Br1",-9.836,"C4",109.916,"Br1",-10.047,"C2",31.192,"Br1",1.098
"DJ193","C3H7CI","ISOPROPYL CHLORIDE",78.541,308.85,489,45.4,247,0.318,0.276,0.224,2.4331,964.2136145,"Cl1",-13.561,"H6",-942.266,"H7",166.09,"Cl1",4.26,"Cl1",0.13763,"Cl1",0.0194,"H5",32.32,"H6",1107.839,"C3",14.739,"Cl1",-12.149,"C4",14.631,"Cl1",-12.327,"C2",12.633,"Cl1",1.744
"DJ218","C3H9N","ISOPROPYLAMINE",59.111,305.55,471.85,45.39,221,0.2675,0.256,0.279,1.4232,916.1276221,"N1",-21.073,"H12",-77.63,"H7",13.25,"N1",5.63,"N1",0.14478,"N1",0.01936,"H13",35.896,"H12",89.804,"N1",1.204,"N1",-19.87,"N1",1.099,"N1",-19.974,"H13",6.615,"N1",0.256
"DJ185","C3H6O2","PROPIONIC ACID",74.079,414.32,604,45.3,230,0.3221,0.207,0.536,1.673,864.4958586,"O2",-31.532,"H11",-139.075,"H8",22.51,"O1",8.77,"O1",0.09632,"O1",0.00871,"H11",42.628,"H11",159.404,"O2",2.052,"O2",-29.48,"O2",1.918,"O2",-29.613,"H11",17.796,"C5",0.326
"DJ1481","NF3","NITROGEN TRIFLUORIDE",71.002,144.09,233.85,45.3,118.8,0.5979,0.277,0.126,0.2403,450.9119234,"F1",-50.389,"N4",-68.25,"N4",20.23,"F1",16.86,"F1",0.0508,"F1",0.00233,"N4",9.277,"N4",80.65,"F1",5.885,"F1",-44.505,"F1",5.623,"F1",-44.766,"N4",11.379,"N4",0.192
"DJ478","C6H5Br","BROMOBENZENE",157.01,429.24,670.15,45.19,324,0.4846,0.263,0.251,1.8913,1254.854674,"Br1",-14.699,"H9",-7133.951,"H12",1167.91,"Br1",5.02,"Br1",0.10443,"Br1",0.01374,"H8",37.26,"H9",8302.067,"C2",100.275,"Br1",-12.779,"C2",100.202,"Br1",-12.958,"C3",33.028,"Br1",2.319
"DJ479","C6H5CI","MONOCHLOROBENZENE",112.558,404.87,632.35,45.19,308,0.3654,0.266,0.251,1.9362,1197.206148,"Cl1",-17.962,"H9",-812.041,"H12",135.04,"Cl1",5.09,"Cl1",0.13399,"Cl1",0.01721,"H9",36.114,"H9",946.502,"C7",10.224,"Cl1",-16.679,"C7",10.146,"Cl1",-16.805,"C2",12.691,"C2",0.258
"DJ66","C2HF3","TRIFLUOROETHENE",82.025,221.01,347.22,45.16,182.5,0.4495,0.286,0.238,2.4853,675.2637821,"F1",-48.681,"H6",-226.471,"H6",40.59,"F1",14.43,"F1",0.06023,"F1",0.00335,"H6",30.948,"H6",266.517,"F1",3.897,"F1",-44.784,"C5",3.697,"F1",-44.985,"C4",19.682,"C4",0.862
"DJ397","C5H10","CYCLOPENTANE",70.134,322.4,511.76,45.02,258.3,0.2715,0.273,0.194,0.0098,1019.025676,"C1",-22.489,"H7",-65.982,"H6",11.41,"C1",5.29,"C1",0.16742,"C1",0.02543,"H7",33.077,"H9",76.795,"C5",0.787,"C1",-21.704,"C5",0.699,"C1",-21.792,"C2",8.073,"C1",0.076
"DJ160","C3H5CIO2","METHYL CHLOROACETATE",108.524,402.97,600,45,270,0.4019,0.244,0.434,3.6083,1058.291724,"Cl11",-26.897,"H5",-845.402,"H9",142.7,"Cl11",8.39,"Cl11",0.08668,"Cl11",0.00806,"H6",35.107,"H5",987.411,"O2",14.306,"Cl11",-24.304,"O2",14.176,"Cl11",-24.479,"C1",22.453,"C1",0.849
"DJ161","C3H5CIO2","ETHYL CHLOROFORMATE",108.524,366,508.15,45,274,0.3961,0.292,0.835,3.2375,1063.982338,"Cl1",-26.852,"H7",-839.634,"H9",143.08,"Cl1",8.37,"Cl1",0.08685,"Cl1",0.0081,"H7",34.597,"H10",981.721,"O3",14.264,"Cl1",-24.273,"O3",14.131,"Cl1",-24.452,"C6",24.117,"C6",0.973
"DJ249","C4H6","1,2-BUTADIENE",54.092,284,444,45,219,0.247,0.267,0.251,0.4601,855.7121245,"C3",-20.861,"H9",-68.146,"H5",12.32,"C2",5.31,"C2",0.16152,"C2",0.02329,"H9",30.27,"H9",79.858,"C3",1.085,"C3",-19.775,"C3",0.985,"C3",-19.876,"C2",5.906,"H5",0.003
"DJ105","C2H4F2","1,1-DIFLUOROETHANE",66.051,247.35,386.6,44.99,181,0.3649,0.253,0.263,2.3274,958.0809949,"Cl7",-132.376,"H6",-1551.905,"H4",275.87,"Cl7",47.79,"Cl7",0.01756,"Cl7",0.0003,"H6",31.923,"H6",1825.889,"C1",25.569,"Cl7",-113.659,"C1",25.448,"Cl7",-113.883,"C2",26.117,"Cl7",13.218
"DJ54","C2CI4","TETRACHLOROETHYLENE",165.833,394.4,620,44.9,248,0.6687,0.216,0.214,0,1234.688615,"Cl1",-215.874,"C5",-737.854,"C5",183.6,"Cl1",71.98,"Cl1",0.01254,"Cl1",0.00015,"C6",15.647,"C5",916.697,"C5",29.408,"Cl1",-191.718,"C5",29.322,"Cl1",-191.885,"C6",40.685,"C5",1.78
"DJ94","C2H3CI3","1,1,2-TRICHLOROETHANE",133.404,387,602,44.8,281,0.4747,0.252,0.26,3.0152,1132.73388,"Cl7",-180.039,"H8",-1823.581,"H3",313.5,"Cl5",61.23,"Cl5",0.01441,"Cl5",0.00019,"H8",33.893,"H8",2136.139,"C2",26.484,"Cl7",-158.585,"C2",26.378,"Cl7",-158.788,"C1",35.993,"C1",1.852
"DJ144","C3H3N","ACRYLONITRILE",53.064,350.5,535,44.8,212,0.2503,0.214,0.35,4.1409,727.2151716,"N2",-21.444,"H5",-90.195,"H6",16.71,"N2",6.28,"C1",0.13241,"C1",0.01598,"H5",28.891,"H5",106.283,"N2",1.708,"N2",-19.735,"N2",1.571,"N2",-19.872,"C1",7.943,"N2",0.194
"DJ48","C2BrF3","BROMOTRIFLUOROETHYLENE",160.921,270.65,432,44.8,239,0.6733,0.298,0.175,0.2533,1290.4805,"Br3",-132.829,"C2",-3169.601,"C2",774.57,"Br3",54.77,"Br3",0.01419,"Br3",0.00019,"C1",16.654,"C2",3944.408,"Cl6",127.458,"Br3",-106.386,"Cl6",127.295,"Br3",-106.607,"Cl5",32.164,"Br3",2.907
"DJ1576","SeF6","SELENIUM HEXAFLUORIDE",192.95,227.35,368.8,44.75,187.7,1.0278,0.274,0.133,0,769.4605337,"Se1",-49.521,"F2",-1965.327,"F2",545.76,"Se1",17.99,"Se1",0.03476,"Se1",0.00141,"F2",12.536,"F2",2508.406,"F2",119.306,"Se1",-42.175,"F2",119.163,"Se1",-42.417,"F2",22.259,"Se1",1.46
"DJ658","C7H6O2","BENZOIC ACID",122.123,522.4,751,44.7,339.1,0.36,0.246,0.604,2.1244,1285.709039,"O2",-34.106,"H15",-135.339,"H12",20.5,"O1",8.32,"O1",0.10638,"O1",0.01063,"H15",48.931,"H15",153.707,"O2",1.332,"O2",-32.774,"O2",1.253,"O2",-32.854,"H15",30.527,"C9",1.333
"DJ349","C4H12N2O","N-AMINOETHYL ETHANOLAMINE",104.152,517,698,44.6,387,0.2691,0.297,1.05,2.1794,1339.751811,"O1",-30.393,"H19",-115.768,"H8",17.72,"O1",7.42,"O1",0.11657,"O1",0.01273,"H19",47.241,"H19",131.657,"N2",1.251,"O1",-29.207,"N2",1.176,"O1",-29.286,"H19",21.639,"C7",0.365
"DJ61","C2HCIF2","2-CHLORO-1,1-DIFLUOROETHYLENE",98.479,254.55,400.55,44.58,197,0.4999,0.264,0.219,1.1429,766.9791009,"Cl6",-36.875,"H3",-968.489,"H3",172.12,"Cl6",13.27,"Cl6",0.05623,"Cl6",0.00332,"H3",31.541,"H3",1140.275,"F4",19.952,"Cl6",-31.573,"F4",19.793,"Cl6",-31.781,"C2",18.182,"Cl6",3.424
"DJ80","C2H2F2","1,1-DIFLUOROETHYLENE",64.035,187.5,302.8,44.58,154,0.4158,0.273,0.139,1.4303,581.5101882,"F5",-38.705,"H3",-204.11,"H3",38.13,"F5",12.43,"F5",0.06588,"F5",0.0041,"H3",28.458,"H3",241.706,"C1",4.156,"F5",-34.712,"C1",4.017,"F5",-34.895,"C2",9.834,"F5",7.596
"DJ204","C3H7NO2","2-NITROPROPANE",89.094,393.4,594,44.5,288,0.3094,0.26,0.376,4.1601,1005.121352,"O2",-34.004,"H9",-131.312,"H8",22.38,"O1",8.74,"O1",0.09898,"O1",0.00909,"H7",34.479,"H9",153.071,"O2",1.644,"O2",-32.361,"C5",1.544,"O2",-32.463,"C4",11.571,"C4",0.269
"DJ508","C6H8","METHYLCYCLOPENTADIENE",80.13,345.93,541,44.3,279,0.2872,0.275,0.238,0.7697,1098.038592,"C2",-24.266,"H7",-73.859,"H7",12.56,"C1",5.64,"C6",0.16034,"C6",0.02361,"H7",34.212,"H7",85.818,"C3",0.79,"C2",-23.483,"C3",0.726,"C2",-23.547,"C6",10.62,"C6",0.28
"DJ1592","SiH2Cl2","DICHLOROSILANE",101.007,281.45,449,44.3,228,0.443,0.271,0.177,1.7072,913.3189053,"Cl1",-152.037,"H4",-1708.985,"H4",355.35,"Cl1",61.43,"Cl1",0.01377,"Cl1",0.00017,"H4",22.948,"H4",2065.318,"H4",30.584,"Cl1",-123.216,"H5",30.525,"Cl1",-123.489,"Si3",28.986,"Cl1",13.08
"DJ496","C6H6N2O2","p-NITROANILINE",138.126,609.15,851,44.2,406,0.3402,0.254,0.782,7.1506,1366.71759,"O1",-37.016,"H15",-141.149,"H13",21.83,"O1",8.63,"O1",0.10458,"O1",0.01022,"H15",44.503,"H15",161.471,"N4",1.384,"O1",-35.836,"N4",1.325,"O1",-35.894,"C6",21.711,"C6",1.147
"DJ270","C4H6O5","DIGLYCOLIC ACID",134.089,610,820,44.2,331,0.4051,0.215,1.081,4.2998,1252.609447,"O1",-46.242,"H14",-182.931,"H10",27.62,"O1",11.36,"O1",0.0814,"C8",0.00638,"H15",49.158,"H14",208.044,"O4",1.85,"O4",-44.399,"O4",1.753,"O4",-44.496,"C9",34.35,"C8",2.357
"DJ494","C6H6N2O2","M-NITROANILINE",138.126,579,815,44.2,406,0.3402,0.265,0.74,5.8123,1367.205914,"O1",-37.013,"H16",-141.055,"H13",21.84,"O1",8.62,"O1",0.10463,"O1",0.01023,"H16",44.363,"H16",161.4,"N4",1.379,"O1",-35.837,"N4",1.322,"O1",-35.892,"C6",21.604,"C6",1.139
"DJ495","C6H6N2O2","o-NITROANILINE",138.126,558,784,44.2,406,0.3402,0.275,0.741,5.046,1350.389862,"O1",-37.015,"H16",-142.561,"H12",21.83,"O1",8.63,"O1",0.10447,"O1",0.0102,"H16",46.41,"H16",162.598,"N4",1.402,"O2",-35.832,"N4",1.345,"O2",-35.887,"H16",23.48,"C6",1.182
"DJ201","C3H7NO","N,N-DIMETHYLFORMAMIDE",73.095,426.15,647,44.2,267,0.2738,0.219,0.376,4.2786,917.2340445,"O1",-26.859,"H8",-110.427,"H6",19.16,"O1",7.33,"O1",0.11225,"O1",0.01197,"H8",33.235,"H8",128.896,"N2",1.775,"O1",-25.231,"N2",1.668,"O1",-25.343,"C5",12.468,"O1",0.249
"DJ297","C4H8Q2","n-BUTYRIC ACID",88.106,436.42,628,44.2,283,0.3113,0.24,0.604,1.597,1059.086087,"O2",-32.173,"H14",-132.375,"H11",20.77,"O1",8.41,"O1",0.10188,"O1",0.00976,"H14",45.379,"H14",151.056,"O2",1.67,"O2",-30.503,"O2",1.556,"O2",-30.617,"H14",20.537,"C6",0.493
"DJ1425","GeBr4","GERMANIUM BROMIDE",392.226,462.15,740,44.17,381.7,1.0277,0.274,0.169,0,1525.038848,"Br1",-1074.977,"Ge5",-1224.661,"Ge5",450.23,"Br1",419.43,"Br1",0.00215,"Br1",0,"Ge5",6.459,"Ge5",1627.049,"Br1",185.219,"Br1",-889.758,"Br1",185.023,"Br1",-889.955,"Ge5",85.686,"Ge5",1.507
"DJ318","C4H10O","n-BUTANOL",74.123,390.81,562.93,44.13,274.5,0.27,0.259,0.595,1.9872,1055.015476,"O1",-24.097,"H15",-103.615,"H7",16.51,"O1",6.34,"O1",0.12642,"O1",0.01589,"H15",43.209,"H15",118.437,"O1",1.292,"O1",-22.805,"O1",1.181,"O1",-22.916,"H15",13.383,"O1",0.254
"DJ64","C2HCI3O","TRICHLOROACETALDEHYDE",147.387,370.85,565,44.1,288,0.5118,0.27,0.332,1.6559,1141.921366,"Cl6",-180.692,"H3",-1737.517,"H3",296.56,"Cl5",60.25,"Cl5",0.01469,"Cl5",0.0002,"H3",34.225,"H3",2033.87,"O2",29.097,"Cl6",-160.377,"O2",28.975,"Cl7",-160.55,"C1",50.45,"C1",3.024
"DJ09","CCI3F","TRICHLOROFLUOROMETHANE",137.368,296.97,471.2,44.08,248,0.5539,0.279,0.184,0.435,975.3880467,"Cl3",-182.515,"C1",-637.491,"C1",161.72,"Cl3",65.57,"Cl3",0.01337,"Cl3",0.00016,"C1",14.974,"C1",793.637,"F2",34.981,"Cl3",-157.11,"F2",34.819,"Cl3",-157.329,"C1",39.62,"C1",1.874
"DJ754","C8H6","ETHYNYLBENZENE",102.135,418.36,655.43,44.03,337.5,0.3026,0.273,0.239,0.7103,1283.106836,"C1",-26.956,"H14",-85.246,"H13",13.89,"C1",6.03,"C1",0.15391,"C1",0.02213,"H14",37.694,"H14",98.427,"C7",0.778,"C1",-26.226,"C7",0.718,"C1",-26.283,"C1",16.029,"C1",0.838
"DJ486","C6H5NO2","NITROBENZENE",123.111,483.96,719,44,349,0.3528,0.257,0.448,4.8915,1235.471991,"O1",-35.532,"H10",-134.683,"H14",21.84,"O1",8.51,"O1",0.10453,"O1",0.01019,"H10",38.045,"H10",155.824,"O1",1.283,"O1",-34.249,"C9",1.215,"O1",-34.32,"C4",17.352,"C4",0.775
"DJ778","C8H10O","2,4-XYLENOL",122.167,464.13,707.65,44,390,0.3132,0.292,0.513,1.0771,1464.890052,"O1",-28.176,"H19",-109.09,"H12",16.41,"O1",6.64,"O1",0.12964,"O1",0.0161,"H19",49.337,"H19",123.656,"O1",0.949,"O1",-27.228,"O1",0.882,"O1",-27.294,"H19",26.613,"C5",0.513
"DJ474","C6H4F2","p-DIFLUOROBENZENE",114.094,362,556,44,299.5,0.3809,0.266,0.299,0.0001,1069.015315,"F1",-40.838,"H11",-171.202,"H9",28.38,"F1",10.55,"F1",0.08123,"F1",0.0063,"H9",36.173,"H12",198.994,"F1",1.977,"F1",-38.861,"C5",1.892,"F1",-38.958,"C3",13.756,"C3",0.377
"DJ357","C5H6","1-PENTENE-3-YNE",66.103,332.4,520,44,256,0.2582,0.261,0.252,0.6212,989.3415857,"C4",-22.918,"H11",-73.4,"H10",12.93,"C1",5.59,"C1",0.15821,"C1",0.02268,"H9",31.925,"H11",85.729,"C3",0.963,"C3",-21.958,"C3",0.882,"C3",-22.04,"C1",8.367,"C1",0.119
"DJ358","C5H6","1-PENTENE-4-YNE",66.103,315.65,503,44,266,0.2582,0.269,0.179,0.5774,993.3657977,"C4",-22.902,"H11",-74.516,"H10",12.92,"C1",5.57,"C1",0.15894,"C1",0.02288,"H11",33.296,"H11",86.729,"C4",0.971,"C4",-21.932,"C4",0.88,"C4",-22.023,"C1",8.483,"C1",0.126
"DJ207","C3H8O","METHYL ETHYL ETHER",60.096,280.5,437.8,43.98,221,0.2719,0.267,0.219,1.3609,871.3957073,"O1",-22.45,"H11",-98.072,"H7",17.5,"O1",6.31,"O1",0.12298,"O1",0.01534,"H11",31.364,"H8",114.963,"O1",1.536,"O1",-20.914,"C3",1.431,"O1",-21.042,"C2",5.289,"O1",0.545
"DJ290","C4H8O","1,2-EPOXYBUTANE",72.107,336.57,526,43.9,258,0.2795,0.259,0.235,2.2051,957.5985141,"O1",-24.238,"H7",-99.863,"H12",17.37,"O1",6.47,"O1",0.12368,"O1",0.01511,"H7",33.04,"H7",116.565,"O1",1.371,"O1",-22.867,"C5",1.268,"O1",-22.982,"C2",7.099,"O1",0.232
"DJ688","C7H10N2","TOLUENEDIAMINE",122.17,557.15,804,43.8,376,0.3249,0.246,0.576,2.3388,1459.837546,"N2",-29.284,"H17",-97.816,"H14",15.21,"N1",6.76,"N2",0.13505,"C7",0.01725,"H17",44.071,"H17",111.723,"N1",0.898,"N1",-28.387,"N1",0.841,"N1",-28.444,"C7",19.321,"C7",0.965
